ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
VNG6180H	cosine	24.0	0.0	20.0	0.5384222267894737	0.17163289813340954	0.0	30.0	0.912376988	0.19845681399999998	0.7139201740000001	4.59735783121	1.5507611914	0.1726465763725309	0.15083382932414424	2.262507439862164	0.8191808191808192	0.8191808191808192	0.9304467420889571
VNG6181H	cosine	24.0	4.0	8.0	1.0654945506842106	0.33273014786904226	0.0	24.0	1.767913198	0.736868359	1.031044839	2.39922528415	1.5798763876	0.13776407439175972	0.2049191957390336	3.073787936085503	0.9140859140859141	0.9140859140859141	0.9634344712878745
VNG6182H	cosine	24.0	12.0	0.0	0.8203070711052632	0.3275534900114467	3.0	48.0	1.6008037919999998	0.48252835	1.118275442	3.31753313976	1.6062241003	0.20836655769098555	0.10627949041698548	1.5941923562547822	0.6953046953046953	0.6953046953046953	0.8857949661332325
VNG6183C	cosine	24.0	8.0	16.0	1.2123628628947367	0.4605179964983872	24.0	3.0	2.244542979	0.6073698120000001	1.6371731669999998	3.6955129060600003	2.10320469535	0.1910864970400048	0.12648168530466053	1.897225279569908	0.7682317682317682	0.7648739487615709	0.9141919706313596
VNG6184G	cosine	24.0	4.0	0.0	0.8461728914736841	0.1851899058549774	6.0	12.0	1.1259811240000002	0.536475932	0.5895051920000001	2.0988474167	1.38670863576	0.19766149804035094	0.1185004415886633	1.7775066238299495	0.7382617382617382	0.7382617382617382	0.9045265610002232
VNG6185H	cosine	24.0	8.0	0.0	0.9294613163157892	0.22099805576163287	9.0	3.0	1.516126005	0.45577087	1.060355135	3.3265092282	1.27765440925	0.24408653900944025	0.07210991080946927	1.0816486621420391	0.5584415584415584	0.5542383406576237	0.8236359241970878
VNG6186H	cosine	24.0	8.0	20.0	1.1251478530526315	0.5653203370145766	33.0	45.0	2.9788266219999997	0.35960748600000003	2.619219136	8.28355008716	1.6881144260499998	0.26953840641866034	0.05342416660172124	0.8013624990258186	0.45554445554445555	0.45181236335512126	0.7658337970541725
VNG6187G	cosine	24.0	12.0	4.0	0.9462250936315791	0.5224893725514705	9.0	3.0	2.756885868	0.158085064	2.598800804	17.4392557921	1.58403435324	0.1552577788450039	0.1764873749699154	2.647310624548731	0.8731268731268731	0.8731268731268731	0.9473347628862999
VNG6188H	cosine	24.0	20.0	0.0	0.8193594844210527	0.1116785655314591	3.0	48.0	1.046830103	0.5238044079999999	0.523025695	1.99851335157	1.19512377879	0.2917131807673798	0.04047645745862255	0.6071468618793383	0.3856143856143856	0.3688168452500417	0.7243538695581834
VNG6189H	cosine	24.0	12.0	16.0	1.1028676564736843	0.38050084972260345	36.0	3.0	1.8896235469999998	0.498559951	1.391063596	3.7901631352699994	1.74267226525	0.3022817708791715	0.035271314747732034	0.5290697212159805	0.35364635364635366	0.33219856060429453	0.7105851563728225
VNG6191H	cosine	24.0	12.0	16.0	1.0473257120000001	0.4342197875524241	9.0	42.0	1.8903440580000002	0.483969683	1.406374375	3.9059142016500004	1.9123523113499998	0.4715595625715076	0.0023928116376951084	0.03589217456542663	0.03496503496503497	0.03494598553315664	0.40936815393558734
VNG6193H	cosine	24.0	20.0	16.0	1.3245912155789474	0.3661148030443361	12.0	3.0	2.167992298	0.62207883	1.5459134680000002	3.48507647817	1.4675018470299999	0.1424489139591525	0.19705008742960328	2.955751311444049	0.9080919080919081	0.9080919080919081	0.9626415986840015
VNG6194H	cosine	24.0	0.0	20.0	1.4714099507368423	0.8589605259670764	24.0	33.0	3.160740764	0.4170028	2.7437379639999997	7.57966316773	2.57819282066	0.44649976648068335	0.003779036834533492	0.056685552518002384	0.04995004995004995	0.04995004995004995	0.42063199957936803
VNG6195H	cosine	24.0	16.0	12.0	0.7124921243684208	0.1553100907580892	42.0	0.0	1.00713933	0.356862519	0.650276811	2.8222054051	1.31678661982	0.13300397918683549	0.2131030287236278	3.196545430854417	0.9250749250749251	0.9250749250749251	0.966135691984256
VNG6196G	cosine	24.0	12.0	4.0	1.3514974353684208	0.9446600264409818	12.0	30.0	4.237003322	0.385077445	3.8519258769999998	11.002990118	1.62370771682	0.4777162426000121	0.0021319178863561717	0.03197876829534258	0.028971028971028972	0.028971028971028972	0.3906206153397164
VNG6197H	cosine	24.0	12.0	16.0	1.4560010352105264	0.8054938553452671	9.0	3.0	3.7500955260000004	0.259734356	3.49036117	14.4381959466	2.23495950004	0.29019050004400465	0.04127536542457076	0.6191304813685614	0.3946053946053946	0.37426194557643383	0.7273106634683735
VNG6198H	cosine	24.0	12.0	4.0	1.846102921	1.4097582724636812	24.0	3.0	6.233774434	0.35450981	5.879264624	17.5842085555	2.57673085673	0.3105155576900078	0.0316079859313366	0.474119788970049	0.3246753246753247	0.30517284044578924	0.6929184645883577
VNG6199G	cosine	24.0	20.0	4.0	1.245347974052632	0.7537998859611252	45.0	3.0	3.6800751739999997	0.480982261	3.1990929130000003	7.651166108180001	2.31936695029	0.19412100558278306	0.12275279778700998	1.8412919668051495	0.7492507492507493	0.7492507492507493	0.9072662957627641
VNG6201G	cosine	24.0	20.0	0.0	1.9506510656315788	1.320326171429396	42.0	0.0	5.52351702	0.36828264299999997	5.155234377	14.9980378521	1.9911393784400002	0.4226864456017136	0.0057237142759702896	0.08585571413955434	0.07792207792207792	0.07385704278426733	0.4856353498143606
VNG6203H	cosine	24.0	0.0	20.0	1.2051902816315792	0.7927663979568627	39.0	45.0	3.684765221	0.20753666899999998	3.4772285519999997	17.7547670913	3.04325309236	0.1726465763725309	0.15083382932414424	2.262507439862164	0.8191808191808192	0.8191808191808192	0.9304467420889571
VNG6204H	cosine	24.0	12.0	20.0	1.0876291346842106	0.5218710770815513	36.0	3.0	2.337091561	0.33592765799999996	2.001163903	6.957127540239999	1.9900756904400003	0.4926724641749085	0.0016021413401238664	0.024032120101857995	0.01998001998001998	0.01998001998001998	0.3196803196803197
VNG6205C	cosine	24.0	20.0	16.0	1.0361000434736842	0.28953428493320704	30.0	9.0	1.766299395	0.578384005	1.18791539	3.0538524228400004	1.3345677832	0.2611563422584462	0.059099681168224616	0.8864952175233691	0.4915084915084915	0.48493143076860223	0.7863752931382738
VNG6206H	cosine	24.0	12.0	4.0	0.4958226686842106	0.21521792481299698	42.0	27.0	1.2601209009999998	0.23292102899999997	1.027199872	5.410077855190001	1.4279050982	0.5135449607950129	0.0010620825923737301	0.015931238885605953	0.01098901098901099	0.01098901098901099	0.26640026640026643
VNG6208C	cosine	24.0	16.0	12.0	1.506035505631579	0.5961360959909145	45.0	0.0	2.8554319930000003	0.704686157	2.150745836	4.0520619919	1.96291107497	0.20555160419783666	0.10940114398807373	1.6410171598211056	0.7092907092907093	0.7092907092907093	0.889292525656162
VNG6209H	cosine	24.0	16.0	12.0	1.0930148830526316	0.3911670021402234	45.0	0.0	2.108929766	0.488994626	1.61993514	4.31278720433	1.7664586894099998	0.26600795837367097	0.055759649259044	0.8363947388856601	0.47152847152847155	0.46566640294635553	0.7739607805202585
VNG6210G	cosine	24.0	8.0	20.0	0.5126405018947369	0.11647464090235488	30.0	18.0	0.731547318	0.299656166	0.43189115200000006	2.4412890539400003	1.4981317061700001	0.353394799526688	0.017249269763119884	0.25873904644679824	0.20679320679320679	0.18745844857721522	0.6104828514813928
VNG6211G	cosine	24.0	0.0	4.0	0.5417533494210527	0.17203007006164905	0.0	30.0	0.959539433	0.300855496	0.658683937	3.1893697996499997	1.78998775637	0.2934973758780968	0.039556362636785435	0.5933454395517815	0.3756243756243756	0.36248932299793696	0.7243538695581834
VNG6212G	cosine	24.0	0.0	20.0	0.5590079527368421	0.1471863975084169	9.0	15.0	0.814642402	0.311220194	0.5034222079999999	2.6175756512799997	1.61344198033	0.24408653900944025	0.07210991080946927	1.0816486621420391	0.5584415584415584	0.5542383406576237	0.8236359241970878
VNG6213G	cosine	24.0	8.0	16.0	0.6661654265789473	0.17796262077972774	9.0	42.0	1.1341626740000001	0.413455965	0.7207067090000001	2.74312809588	1.41592414659	0.4777162426000121	0.0021319178863561717	0.03197876829534258	0.028971028971028972	0.028971028971028972	0.3906206153397164
VNG6214G	cosine	24.0	8.0	20.0	0.5723430715263159	0.16977369169699233	9.0	3.0	0.883616458	0.26286060899999997	0.620755849	3.36154002443	1.62680410028	0.26953840641866034	0.05342416660172124	0.8013624990258186	0.45554445554445555	0.45181236335512126	0.7658337970541725
VNG6216G	cosine	24.0	16.0	4.0	0.6481545725789474	0.13887695628057864	42.0	18.0	0.977097372	0.301980766	0.6751166059999999	3.23562783465	1.19458064585	0.2882402810168597	0.04231720958075032	0.6347581437112548	0.3996003996003996	0.3812953403386793	0.7297518475381423
VNG6218G	cosine	24.0	20.0	16.0	1.4429069772631582	0.5534120338955919	33.0	0.0	2.4718244609999998	0.598216107	1.8736083540000001	4.131992489130001	1.9986748431599999	0.2136733709387287	0.10057044211043407	1.508556631656511	0.6743256743256744	0.6743256743256744	0.8786002271344292
VNG6220G	cosine	24.0	16.0	12.0	0.9814552988947368	0.23817117748968844	42.0	9.0	1.405265466	0.47203512	0.933230346	2.97703583157	1.40862737676	0.14509525002200233	0.19268702330404008	2.890305349560601	0.8991008991008991	0.8991008991008991	0.959040959040959
VNG6221H	cosine	24.0	4.0	16.0	1.373800329842105	0.4602972553121195	0.0	24.0	2.468722509	0.713233482	1.7554890269999999	3.4613104562599997	1.2628494824	0.1823560961535235	0.1376471601026617	2.0647074015399256	0.7912087912087912	0.7912087912087912	0.9249396487584505
VNG6222H	cosine	24.0	12.0	16.0	1.0153953321052631	0.4460687664885237	27.0	3.0	1.8824930359999998	0.264437818	1.618055218	7.11884952855	1.797256714	0.24182541670333724	0.07398649959475624	1.1097974939213435	0.5684315684315684	0.5635294565328779	0.8312665615727763
VNG6223C	cosine	24.0	20.0	0.0	0.5767925605263158	0.3574777015232629	42.0	12.0	1.4930068319999998	0.225309984	1.267696848	6.626456606560001	2.4876038509900003	0.13692659505407626	0.2063453381941503	3.0951800729122545	0.919080919080919	0.919080919080919	0.9634344712878745
VNG6224H	cosine	24.0	16.0	20.0	0.9763461414210528	0.5019137719551303	36.0	3.0	2.051655755	0.24030050600000002	1.811355249	8.53787530102	1.8819141065400002	0.34425154206795183	0.01972337115412904	0.29585056731193554	0.22777222777222778	0.2092686947047722	0.6325177647125059
VNG6225C	cosine	24.0	16.0	12.0	1.0204907525789475	0.17212707702375624	15.0	24.0	1.438427202	0.812576889	0.6258503129999999	1.77020442185	1.36082666344	0.2176428750330035	0.09644869233865433	1.446730385079815	0.6673326673326674	0.6625188415238853	0.8750936817046366
VNG6226H	cosine	24.0	20.0	0.0	0.9977495656842106	0.16938012369072522	18.0	39.0	1.321257621	0.637242966	0.684014655	2.07339694825	1.23972266061	0.26789985988841003	0.05449828346439207	0.817474251965881	0.4645354645354645	0.45822388857074664	0.7658337970541725
