"","data...1.","pval","bhq","rainresult.phase"
"1270","VNG1674H",0.505997818974918,0.996551724137931,3
"1271","VNG1675H",0.0656488549618321,0.570012321375462,21
"1272","VNG1676G",0.215116279069767,0.86201535998515,6
"1273","VNG1678H",0.954907161803713,0.996551724137931,24
"1274","VNG1679H",0.426483875993145,0.996551724137931,3
"1275","VNG1680G",0.746346782988004,0.996551724137931,24
"1276","VNG1681C",0.0230954290296712,0.341024969491639,21
"1277","VNG1682C",0.949092637642256,0.996551724137931,3
"1278","VNG1684G",0.337622682660851,0.982175076831565,12
"1279","VNG1686G",0.00256615878107458,0.162977761421587,6
"1280","VNG1687C",0.746346782988004,0.996551724137931,6
"1281","VNG1688C",0.964885496183206,0.996551724137931,12
"1282","VNG1689G",0.0133478735005453,0.341024969491639,21
"1283","VNG1690G",0.986718116489109,0.996551724137931,21
"1284","VNG1691G",0.0230954290296712,0.341024969491639,21
"1285","VNG1692G",0.949092637642256,0.996551724137931,21
"1286","VNG1693G",0.151930207197383,0.709401745668713,12
"1287","VNG1695G",0.0225081788440567,0.341024969491639,21
"1288","VNG1697G",0.0230954290296712,0.341024969491639,18
"1289","VNG1698G",0.985388956066102,0.996551724137931,3
"1290","VNG1699C",0.969045709703288,0.996551724137931,12
"1291","VNG1700G",0.985388956066102,0.996551724137931,3
"1292","VNG1701G",0.246673936750273,0.862496282343611,21
"1293","VNG1702G",0.980036297640653,0.996551724137931,24
"1294","VNG1703G",0.675245365321701,0.996551724137931,12
"1295","VNG1705G",0.988372093023256,0.996551724137931,21
"1296","VNG1706G",0.240348964013086,0.862496282343611,15
"1297","VNG1707G",0.465116279069767,0.996551724137931,12
"1298","VNG1709G",0.123336968375136,0.671109661182831,21
"1299","VNG1711G",0.429262394195889,0.996551724137931,24
"1300","VNG1713G",0.0603448275862069,0.570012321375462,15
"1301","VNG1714G",0.887997861534349,0.996551724137931,9
"1302","VNG1715G",0.329182115594329,0.982175076831565,15
"1303","VNG1716G",0.983118865866958,0.996551724137931,21
"1304","VNG1718G",0.0290205562273277,0.341024969491639,15
"1305","VNG1719G",0.996551724137931,0.996551724137931,12
"1306","VNG1720H",0.993893035593116,0.996551724137931,15
"1307","VNG1721G",0.993675027262814,0.996551724137931,6
"1308","VNG1723H",0.294840790004031,0.958831837411481,12
"1309","VNG1724G",0.931034482758621,0.996551724137931,12
"1310","VNG1726G",0.964885496183206,0.996551724137931,24
"1311","VNG1727G",0.465116279069767,0.996551724137931,21
"1312","VNG1729G",0.465116279069767,0.996551724137931,6
"1313","VNG1732C",0.775896815800081,0.996551724137931,24
"1314","VNG1733G",0.675245365321701,0.996551724137931,6
"1315","VNG1734H",0.969045709703288,0.996551724137931,3
"1316","VNG1735C",0.0731515812431843,0.570012321375462,6
"1317","VNG1737H",0.0252606255012029,0.341024969491639,24
"1318","VNG1739G",0.980036297640653,0.996551724137931,3
"1319","VNG1740C",0.131034482758621,0.671109661182831,24
"1320","VNG1743C",0.986718116489109,0.996551724137931,12
"1321","VNG1744H",0.239234851538358,0.862496282343611,9
"1322","VNG1746C",0.329182115594329,0.982175076831565,6
"1323","VNG1748C",0.996551724137931,0.996551724137931,24
"1324","VNG1749G",0.0030229746070133,0.162977761421587,15
"1325","VNG1751H",0.0795824894843433,0.608273804975873,3
"1326","VNG1752C",0.980036297640653,0.996551724137931,12
"1327","VNG1754G",0.996551724137931,0.996551724137931,3
"1328","VNG1755G",0.988372093023256,0.996551724137931,9
"1329","VNG1756G",0.758996728462377,0.996551724137931,18
"1330","VNG1758H",0.938807509799876,0.996551724137931,24
"1331","VNG1759G",0.378249697702539,0.996551724137931,6
"1332","VNG1760G",0.954907161803713,0.996551724137931,18
"1333","VNG1762G",0.584441757355905,0.996551724137931,3
"1334","VNG1764G",0.964885496183206,0.996551724137931,18
"1335","VNG1765G",0.985388956066102,0.996551724137931,18
"1336","VNG1766C",0.584441757355905,0.996551724137931,6
"1337","VNG1767G",0.995667069729948,0.996551724137931,3
"1338","VNG1768G",0.665998396150762,0.996551724137931,21
"1339","VNG1769C",0.988372093023256,0.996551724137931,3
"1340","VNG1770C",0.164651350261991,0.722244376409649,6
"1341","VNG1771C",0.0267241379310345,0.341024969491639,3
"1342","VNG1772G",0.505997818974918,0.996551724137931,6
"1343","VNG1773G",0.985388956066102,0.996551724137931,3
"1344","VNG1774G",0.954907161803713,0.996551724137931,24
"1345","VNG1775C",0.937587201190587,0.996551724137931,18
"1346","VNG1776G",0.985388956066102,0.996551724137931,9
"1347","VNG1777H",0.949092637642256,0.996551724137931,21
"1348","VNG1779C",0.0238171611868484,0.341024969491639,9
"1349","VNG1781C",0.752017448200654,0.996551724137931,12
"1350","VNG1782C",0.596167234619472,0.996551724137931,15
"1351","VNG1783H",0.985388956066102,0.996551724137931,3
"1352","VNG1784C",0.993675027262814,0.996551724137931,12
"1353","VNG1785G",0.954907161803713,0.996551724137931,21
"1354","VNG1786H",0.955490297691023,0.996551724137931,6
"1355","VNG1787H",0.969045709703288,0.996551724137931,15
"1356","VNG1788C",0.337622682660851,0.982175076831565,15
"1357","VNG1790H",0.996551724137931,0.996551724137931,3
"1358","VNG1791C",0.954907161803713,0.996551724137931,15
"1359","VNG1793C",0.0694002181025082,0.570012321375462,21
"1360","VNG1794C",0.983118865866958,0.996551724137931,6
"1361","VNG1795C",0.246673936750273,0.862496282343611,3
"1362","VNG1796H",0.758996728462377,0.996551724137931,3
"1363","VNG1797G",0.988372093023256,0.996551724137931,15
"1364","VNG1798H",0.0308343409915357,0.341024969491639,6
"1365","VNG1800H",0.983118865866958,0.996551724137931,9
"1366","VNG1801G",0.465116279069767,0.996551724137931,15
"1367","VNG1802H",0.465116279069767,0.996551724137931,18
"1368","VNG1804G",0.962050163576881,0.996551724137931,21
"1369","VNG1806H",0.429262394195889,0.996551724137931,21
"1370","VNG1807H",0.505997818974918,0.996551724137931,15
"1371","VNG1809H",0.665998396150762,0.996551724137931,18
"1372","VNG1811G",0.294840790004031,0.958831837411481,9
"1373","VNG1814G",0.993675027262814,0.996551724137931,3
"1374","VNG1815G",0.13448275862069,0.671109661182831,15
"1375","VNG1816G",0.121544165757906,0.671109661182831,21
"1376","VNG1818G",0.00264635124298316,0.162977761421587,9
"1377","VNG1820H",0.964885496183206,0.996551724137931,18
"1378","VNG1821G",0.584441757355905,0.996551724137931,15
"1379","VNG1822G",0.988372093023256,0.996551724137931,6
"1380","VNG1823C",0.931034482758621,0.996551724137931,6
"1381","VNG1826H",0.0252606255012029,0.341024969491639,6
"1382","VNG1827H",0.775896815800081,0.996551724137931,6
"1383","VNG1829G",0.954907161803713,0.996551724137931,18
"1384","VNG1830G",0.465116279069767,0.996551724137931,6
"1385","VNG1831H",0.969045709703288,0.996551724137931,3
"1386","VNG1832H",0.021882951653944,0.341024969491639,21
"1387","VNG1833C",0.370010905125409,0.996551724137931,15
"1388","VNG1834G",0.985388956066102,0.996551724137931,12
"1389","VNG1835G",0.938807509799876,0.996551724137931,24
"1390","VNG1836G",0.988372093023256,0.996551724137931,21
"1391","VNG1837G",0.131034482758621,0.671109661182831,18
"1392","VNG1838H",0.986718116489109,0.996551724137931,6
"1393","VNG1839H",0.954907161803713,0.996551724137931,9
"1394","VNG1842H",0.954907161803713,0.996551724137931,3
"1395","VNG1843C",0.985388956066102,0.996551724137931,3
"1396","VNG1844G",0.985388956066102,0.996551724137931,6
"1397","VNG1845C",0.983118865866958,0.996551724137931,6
"1398","VNG1846C",0.164651350261991,0.722244376409649,9
"1399","VNG1847G",0.0137404580152672,0.341024969491639,3
"1400","VNG1848H",0.996551724137931,0.996551724137931,3
"1401","VNG1849H",0.582150490730643,0.996551724137931,6
"1402","VNG1850G",0.118167938931298,0.671109661182831,6
"1403","VNG1851G",0.169727428456268,0.722244376409649,15
"1404","VNG1852H",0.0731515812431843,0.570012321375462,6
"1405","VNG1853G",0.969045709703288,0.996551724137931,6
"1406","VNG1856G",0.985388956066102,0.996551724137931,6
"1407","VNG1857C",0.252998909487459,0.862496282343611,18
"1408","VNG1859G",0.11701199563795,0.671109661182831,9
"1409","VNG1861C",0.949092637642256,0.996551724137931,6
"1410","VNG1862G",0.0308343409915357,0.341024969491639,6
"1411","VNG1864G",0.988372093023256,0.996551724137931,18
"1412","VNG1865H",0.51726454386672,0.996551724137931,9
"1413","VNG1866G",0.0274258219727346,0.341024969491639,24
"1414","VNG1867G",0.465116279069767,0.996551724137931,3
"1415","VNG1868G",0.962050163576881,0.996551724137931,15
"1416","VNG1869C",0.686819830713422,0.996551724137931,15
"1417","VNG1871G",0.746346782988004,0.996551724137931,18
"1418","VNG1872C",0.0675245365321701,0.570012321375462,15
"1419","VNG1873G",0.0259823576583801,0.341024969491639,18
"1420","VNG1874C",0.0299274486094317,0.341024969491639,12
"1421","VNG1875G",0.00264635124298316,0.162977761421587,21
"1422","VNG1877C",0.0780079970919666,0.60006151609205,9
"1423","VNG1879G",0.980036297640653,0.996551724137931,3
"1424","VNG1880C",0.0133478735005453,0.341024969491639,6
"1425","VNG1882G",0.775896815800081,0.996551724137931,3
"1426","VNG1883G",0.131034482758621,0.671109661182831,6
"1427","VNG1884G",0.995129043984006,0.996551724137931,9
"1428","VNG1886C",0.0225081788440567,0.341024969491639,12
"1429","VNG1887G",0.00240577385725742,0.162977761421587,6
"1430","VNG1889H",0.151930207197383,0.709401745668713,21
"1431","VNG1890H",0.572349858927852,0.996551724137931,15
"1432","VNG1891H",0.11701199563795,0.671109661182831,12
"1433","VNG1893G",0.996551724137931,0.996551724137931,24
"1434","VNG1894C",0.913231756214916,0.996551724137931,6
"1435","VNG1895H",0.168984280532043,0.722244376409649,21
"1436","VNG1896C",0.0586206896551724,0.570012321375462,9
"1437","VNG1898C",0.11701199563795,0.671109661182831,3
"1438","VNG1899G",0.465116279069767,0.996551724137931,6
"1439","VNG1900C",0.964885496183206,0.996551724137931,18
"1440","VNG1901C",0.0252606255012029,0.341024969491639,6
"1441","VNG1902H",0.993675027262814,0.996551724137931,24
"1442","VNG1903C",0.962050163576881,0.996551724137931,6
"1443","VNG1904H",0.988372093023256,0.996551724137931,21
"1444","VNG1905C",0.761141024172299,0.996551724137931,12
"1445","VNG1906H",0.992453653217012,0.996551724137931,21
"1446","VNG1907H",0.619085805934242,0.996551724137931,15
"1447","VNG1910H",0.0259823576583801,0.341024969491639,6
"1448","VNG1911G",0.0245388933440257,0.341024969491639,9
"1449","VNG1912G",0.0252606255012029,0.341024969491639,24
"1450","VNG1914G",0.938807509799876,0.996551724137931,21
"1451","VNG1916H",0.0675245365321701,0.570012321375462,18
"1452","VNG1917H",0.931034482758621,0.996551724137931,6
"1453","VNG1918C",0.246673936750273,0.862496282343611,24
"1454","VNG1919H",0.465116279069767,0.996551724137931,18
"1455","VNG1920H",0.962050163576881,0.996551724137931,18
"1456","VNG1921H",0.964885496183206,0.996551724137931,6
"1457","VNG1922G",0.131034482758621,0.671109661182831,3
"1458","VNG1924G",0.963111467522053,0.996551724137931,9
"1459","VNG1925H",0.252998909487459,0.862496282343611,24
"1460","VNG1926G",0.110687022900763,0.671109661182831,6
"1461","VNG1927H",0.00312374042724708,0.162977761421587,6
"1462","VNG1929G",0.980036297640653,0.996551724137931,21
"1463","VNG1932G",0.761141024172299,0.996551724137931,3
"1464","VNG1933G",0.993893035593116,0.996551724137931,6
"1465","VNG1934H",0.2340239912759,0.862496282343611,18
"1466","VNG1935C",0.337622682660851,0.982175076831565,15
"1467","VNG1937C",0.983118865866958,0.996551724137931,15
"1468","VNG1938C",0.988372093023256,0.996551724137931,12
"1469","VNG1939G",0.239234851538358,0.862496282343611,15
"1470","VNG1940H",0.113849509269357,0.671109661182831,15
"1471","VNG1941C",0.980036297640653,0.996551724137931,15
"1472","VNG1942H",0.931034482758621,0.996551724137931,3
"1473","VNG1943H",0.0694002181025082,0.570012321375462,21
"1474","VNG1944C",0.985388956066102,0.996551724137931,12
"1475","VNG1945G",0.954907161803713,0.996551724137931,21
"1476","VNG1946G",0.0252606255012029,0.341024969491639,3
"1477","VNG1948H",0.13953488372093,0.671109661182831,3
"1478","VNG1949G",0.00256615878107458,0.162977761421587,6
"1479","VNG1951G",0.962050163576881,0.996551724137931,24
"1480","VNG1952H",0.0137404580152672,0.341024969491639,9
"1481","VNG1953C",0.980036297640653,0.996551724137931,24
"1482","VNG1954H",0.954907161803713,0.996551724137931,6
"1483","VNG1956H",0.985388956066102,0.996551724137931,24
"1484","VNG1957G",0.310358726320032,0.982175076831565,6
"1485","VNG1959G",0.988372093023256,0.996551724137931,6
"1486","VNG1960H",0.980036297640653,0.996551724137931,9
"1487","VNG1962C",0.988372093023256,0.996551724137931,3
"1488","VNG1963H",0.465116279069767,0.996551724137931,12
"1489","VNG1964H",0.584441757355905,0.996551724137931,18
"1490","VNG1965H",0.219454743729553,0.86201535998515,12
"1491","VNG1967G",0.931034482758621,0.996551724137931,6
"1492","VNG1969G",0.988372093023256,0.996551724137931,18
"1493","VNG1971G",0.988372093023256,0.996551724137931,18
"1494","VNG1972G",0.412723870622828,0.996551724137931,9
"1495","VNG1973H",0.151162790697674,0.709401745668713,18
"1496","VNG1974H",0.983118865866958,0.996551724137931,18
"1497","VNG1976H",0.135658914728682,0.671109661182831,12
"1498","VNG1977H",0.728648842312688,0.996551724137931,6
"1499","VNG1978H",0.988372093023256,0.996551724137931,18
"1500","VNG1980C",0.107558139534884,0.671109661182831,6
"1501","VNG1982C",0.986718116489109,0.996551724137931,24
"1502","VNG1983H",0.986718116489109,0.996551724137931,12
"1503","VNG1984G",0.996551724137931,0.996551724137931,21
"1504","VNG1985C",0.113849509269357,0.671109661182831,3
"1505","VNG1986C",0.993675027262814,0.996551724137931,24
"1506","VNG1987G",0.985388956066102,0.996551724137931,6
"1507","VNG1988G",0.954907161803713,0.996551724137931,18
"1508","VNG1989H",0.0245388933440257,0.341024969491639,6
"1509","VNG1991H",0.980036297640653,0.996551724137931,3
"1510","VNG1992G",0.584441757355905,0.996551724137931,6
"1511","VNG1993H",0.0694002181025082,0.570012321375462,3
"1512","VNG1994C",0.0586206896551724,0.570012321375462,6
"1513","VNG1995C",0.986718116489109,0.996551724137931,18
"1514","VNG1997G",0.232558139534884,0.862496282343611,6
"1515","VNG1998H",0.121544165757906,0.671109661182831,21
"1516","VNG1999H",0.10752453653217,0.671109661182831,9
"1517","VNG2000G",0.378249697702539,0.996551724137931,21
"1518","VNG2001G",0.0326481257557436,0.351369963290515,18
"1519","VNG2002H",0.988372093023256,0.996551724137931,21
"1520","VNG2003G",0.0290205562273277,0.341024969491639,9
"1521","VNG2005G",0.988372093023256,0.996551724137931,6
"1522","VNG2006C",0.252998909487459,0.862496282343611,9
"1523","VNG2008H",0.131034482758621,0.671109661182831,24
"1524","VNG2010G",0.993893035593116,0.996551724137931,12
"1525","VNG2011G",0.986718116489109,0.996551724137931,3
"1526","VNG2012C",0.887997861534349,0.996551724137931,6
"1527","VNG2014H",0.993893035593116,0.996551724137931,21
"1528","VNG2015C",0.985388956066102,0.996551724137931,6
"1529","VNG2017G",0.983118865866958,0.996551724137931,3
"1530","VNG2019C",0.137931034482759,0.671109661182831,6
"1531","VNG2020C",0.12649945474373,0.671109661182831,12
"1532","VNG2021C",0.0267241379310345,0.341024969491639,9
"1533","VNG2023G",0.761141024172299,0.996551724137931,3
"1534","VNG2024H",0.94199411921946,0.996551724137931,12
"1535","VNG2025G",0.329182115594329,0.982175076831565,6
"1536","VNG2027H",0.252998909487459,0.862496282343611,9
"1537","VNG2028H",0.913231756214916,0.996551724137931,6
"1538","VNG2029H",0.858524788391777,0.996551724137931,3
