"","pVal","phase","peak.shape","period"
"63",0.746893208471125,24,8,24
"64",0.966425612926758,8,4,24
"65",0.71739723354619,12,20,24
"66",0.721849875005441,20,20,24
"67",0.731499955680749,12,8,24
"68",0.865768432630317,24,8,24
"69",0.797910052178382,12,16,24
"70",0.749531849977902,16,12,24
"71",0.761662558693462,12,20,24
"72",0.772098607702484,12,12,24
"73",0.793976343565026,12,12,24
"74",0.83327481006496,4,20,24
"75",0.823860835196177,24,20,24
"76",0.886956847617359,12,8,24
"77",0.799379969403314,4,8,24
"78",0.00252471849909881,4,12,24
"79",0.358684253861766,4,8,24
"80",0.552539644361135,20,8,24
"81",0.685012692736055,12,16,24
"82",0.0081305959821948,4,8,24
"83",0.691522045221264,24,20,24
"84",0.879676030901731,12,8,24
"85",0.375137713503176,4,8,24
"86",0.857391619363447,24,12,24
"87",0.834180078013827,24,20,24
"88",0.809759624211971,24,20,24
"89",0.737705976792675,16,16,24
"90",0.859396664917478,4,12,24
"91",0.590463321304307,24,12,24
"92",0.732762877918774,24,8,24
"93",0.942165090370425,8,8,24
"94",0.861865088909716,8,4,24
"95",0.971669449458606,4,8,24
"96",0.626956014278453,20,20,24
"97",0.917158257087376,4,12,24
"98",0.864310292681414,16,20,24
"99",0.723476255696659,4,8,24
"100",0.753205404205423,4,8,24
"101",0.838014180663574,12,16,24
"102",0.833928495504763,24,8,24
"103",0.0406746427266746,24,12,24
"104",0.797932204345532,12,12,24
"105",0.750650573521082,20,4,24
"106",0.800690599341061,16,8,24
"107",0.860870736280492,12,12,24
"108",0.552539644361135,4,8,24
"109",0.83411892277855,20,4,24
"110",0.86257090000523,12,12,24
"111",0.682580577258486,12,8,24
"112",0.530466534158576,16,8,24
"113",0.698888045155358,4,20,24
"114",0.0969641861660825,12,8,24
"115",0.546775995496218,4,8,24
"116",0.654851050207943,4,8,24
"117",0.830874716791619,12,8,24
"118",0.227260389829526,4,8,24
"119",0.855247614678132,24,12,24
"120",0.440155254883236,4,8,24
"121",0.797910052178382,20,12,24
"122",0.823666695377162,20,4,24
"123",0.703115715035367,12,20,24
"124",0.886250070497636,20,4,24
"125",0.670533321849135,12,20,24
"126",0.497841907350344,12,12,24
"127",0.0368149897316038,4,8,24
"128",1,20,12,24
"129",0.857470573164632,4,4,24
"130",0.687141751793435,12,20,24
"131",0.864291182131583,12,12,24
"132",0.691522045221264,12,20,24
"133",0.732647750736019,12,8,24
"134",0.766113713427795,12,16,24
"135",0.838441926095992,12,8,24
"136",0.846819684090061,12,16,24
"137",0.857391619363447,12,12,24
"138",0.650688869627402,12,12,24
"139",0.826073121725557,4,16,24
"140",0.761930816757314,4,8,24
"141",0.811237603912364,16,4,24
"142",0.713041903182763,12,12,24
"143",0.682580577258486,12,8,24
"144",0.715367632987515,20,12,24
"145",0.73333619688938,24,8,24
"146",0.706227685465015,12,20,24
"147",0.695576066529989,16,16,24
"148",0.788211833968447,20,16,24
"149",0.520463792097732,16,16,24
"150",0.691522045221264,24,20,24
"151",0.0673309052751513,4,8,24
"152",0.84215000918045,12,20,24
"153",0.782290338780723,12,20,24
"154",0.634403064272407,24,8,24
"155",0.845581426702202,24,8,24
"156",0.828888220725811,20,16,24
"157",0.786249050799777,20,16,24
"158",0.669570751309777,24,16,24
"159",0.656241334033009,16,16,24
"160",0.768936779516432,4,4,24
"161",0.857391619363447,20,12,24
"162",0.876020362851788,12,8,24
"163",0.770305616059381,20,12,24
"164",0.829826454265517,12,12,24
"165",0.853124471267731,12,8,24
"166",0.786090980955608,12,8,24
"167",0.899584855812701,16,16,24
"168",0.797816530918645,12,8,24
"169",0.31180680063218,4,8,24
"170",0.731626881105473,16,20,24
"171",0.762529035438976,16,4,24
"172",0.408706987510746,16,8,24
"173",0.171760809501697,4,8,24
"174",0.865012216214793,12,12,24
"175",0.68346309846735,12,20,24
"176",0.823860835196177,24,12,24
"177",0.786454471041684,12,20,24
"178",0.71739723354619,12,20,24
"179",0.767510465446192,24,8,24
"180",0.898545485865995,24,12,24
"181",0.838123898433045,4,20,24
"182",0.88819202626012,12,8,24
"183",0.0203208493237265,24,12,24
"184",0.713041903182763,24,8,24
"185",0.0398829055425708,4,8,24
"186",0.679995638371081,24,12,24
"187",0.60932601809146,4,20,24
"188",0.814165658846879,20,16,24
"189",0.682580577258486,12,8,24
"190",0.701791674317041,24,4,24
"191",0.568970820591216,12,16,24
"192",0.982981871653413,4,8,24
"193",0.75346589206877,20,16,24
"194",0.773410580362972,12,12,24
"195",0.682686762616181,12,8,24
"196",0.85242719622698,12,20,24
"197",0.864886134754606,20,12,24
"198",0.720625367188985,8,16,24
"199",0.809759624211971,12,20,24
"200",0.855304748860668,4,8,24
"201",0.838014180663574,12,16,24
"202",0.671738586726914,24,8,24
"203",0.624432059878882,20,12,24
"204",0.708226159044818,16,16,24
"205",0.751919651053973,12,8,24
"206",0.761938106169499,16,12,24
"207",0.88479801606276,12,12,24
"208",0.664870925032639,12,8,24
"209",0.772862296144432,12,12,24
"210",0.721849875005441,16,20,24
"211",0.710355996855817,20,12,24
"212",0.648991399230644,12,4,24
"213",0.859718094756214,4,20,24
"214",0.715367632987515,24,8,24
"215",0.0552088316255456,4,8,24
"216",0.776535076056291,24,8,24
"217",0.789419864032733,20,16,24
"218",0.797816530918645,12,8,24
"219",0.628999240639822,16,8,24
"220",0.853996776566585,16,20,24
"221",0.756213994154699,24,8,24
"222",0.693655160533588,24,8,24
"223",0.683605145413822,24,20,24
"224",0.645964199874705,4,20,24
"225",0.624432059878882,4,12,24
"226",0.902428924553871,12,4,24
"227",0.88479801606276,12,12,24
"228",0.94630847117308,4,12,24
"229",0.768357828023627,12,12,24
"230",0.770210734945228,16,12,24
"231",0.729434602387955,4,4,24
"232",0.231112328446246,12,16,24
"233",0.73956782512379,4,8,24
"234",0.688620612227051,12,20,24
