"","data...1.","fdr.out.pval","fdr"
"1886","VNG2467G",0.0601940624453977,0.347307199164021
"1887","VNG2468C",0.19136823161973,0.581669840209272
"1888","VNG2469G",0.03591393069523,0.278728492428253
"1889","VNG2470C",0.0227802733987649,0.225920066764611
"1890","VNG2471G",0.124633060069624,0.477826428381946
"1891","VNG2472G",0.370505968972981,0.767888018596851
"1892","VNG2473G",0.0790066871994771,0.385971785191289
"1893","VNG2474C",0.139796783448479,0.504103655749174
"1894","VNG2475C",0.0527284590038457,0.325316970717814
"1895","VNG2476C",0.000298925809545159,0.0347036802924699
"1896","VNG2477H",0.721478465125121,0.950401435087565
"1897","VNG2480H",0.257666318762435,0.662642596902968
"1898","VNG2482G",0.568971167486504,0.894828152219426
"1899","VNG2483G",0.0338339668645456,0.274711783456605
"1900","VNG2484G",0.971307348006217,0.99999011199382
"1901","VNG2486G",0.895646205395928,0.99645572197111
"1902","VNG2488C",0.240701963839724,0.646347990518552
"1903","VNG2490H",0.842112270097271,0.98364832322805
"1904","VNG2493C",0.0320935717189519,0.271213282131988
"1905","VNG2495H",0.161971937880487,0.538764216729564
"1906","VNG2496G",0.00135066080197416,0.0514217878577299
"1907","VNG2497H",0.578079907816912,0.897407360129748
"1908","VNG2498H",0.608936990086124,0.905241877593952
"1909","VNG2499G",0.610338144478916,0.905829777786457
"1910","VNG2501C",0.995374504685001,0.99999011199382
"1911","VNG2502C",0.0940491228378642,0.418771604472865
"1912","VNG2504G",0.000785913325148821,0.0401317442629185
"1913","VNG2505G",0.295907493018108,0.697781642180073
"1914","VNG2507G",0.0137250728136599,0.171563410170748
"1915","VNG2508C",0.141338525194466,0.507166427846102
"1916","VNG2509H",0.985528521286937,0.99999011199382
"1917","VNG2510H",0.918723730861442,0.996879933252226
"1918","VNG2511H",0.618371025849808,0.909736078757561
"1919","VNG2512G",0.58219585127548,0.897571613019043
"1920","VNG2513G",0.130806588090699,0.490503077331065
"1921","VNG2514G",0.466557967462257,0.836682375381169
"1922","VNG2515H",0.227210984464173,0.631242598572962
"1923","VNG2516C",0.883863957332781,0.99645572197111
"1924","VNG2518C",0.296871499497757,0.697781642180073
"1925","VNG2519H",0.516646817197548,0.86543889780225
"1926","VNG2520C",0.895557975973972,0.99645572197111
"1927","VNG2521H",0.592977249342274,0.898713105241788
"1928","VNG2522C",0.861411843950471,0.990671865828051
"1929","VNG2523H",0.0669737071808071,0.358787717040038
"1930","VNG2524H",0.715402748541419,0.949124707849312
"1931","VNG2525H",9.78460036259522e-05,0.0207861830164558
"1932","VNG2526G",0.0124035299688012,0.16356303255562
"1933","VNG2527G",0.0390452805622557,0.287449918249735
"1934","VNG2529G",0.217432044547063,0.620495727601606
"1935","VNG2531G",0.0343587721648173,0.274711783456605
"1936","VNG2532H",0.476255377863353,0.838600812085141
"1937","VNG2533G",0.164277667369843,0.541574727592889
"1938","VNG2534C",0.201258067966624,0.596298619641863
"1939","VNG2535H",0.00875075916512017,0.13462321774332
"1940","VNG2536C",0.160261909235678,0.535851645513634
"1941","VNG2537G",0.0532418328779071,0.326804089276156
"1942","VNG2539H",0.59565085441927,0.898713105241788
"1943","VNG2541C",0.823348376039749,0.975254464802079
"1944","VNG2543C",0.429244504943897,0.806713194183194
"1945","VNG2544H",0.402049989315617,0.788949524244688
"1946","VNG2546G",0.0710927825528011,0.369313156118447
"1947","VNG2547G",0.624329509366813,0.910219692568449
"1948","VNG2549C",0.145988050957628,0.513300513208842
"1949","VNG2551G",0.756020515993488,0.960015703104128
"1950","VNG2552G",0.976618671572557,0.99999011199382
"1951","VNG2553G",0.0592654043435357,0.346250689466555
"1952","VNG2554H",0.0680110178762567,0.361921159430191
"1953","VNG2555C",0.490246996373636,0.850671339715097
"1954","VNG2556H",0.0295674372455842,0.263442621997718
"1955","VNG2558G",0.264286603052623,0.670308712734989
"1956","VNG2560G",0.0468948841712688,0.311746821424439
"1957","VNG2562H",0.247324171667007,0.652283529671227
"1958","VNG2563H",0.799787224465602,0.973099348040099
"1959","VNG2565G",0.618620533555142,0.909736078757561
"1960","VNG2566H",0.787348035986595,0.969040893411522
