ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1
VNG2668G	0.8478	0.978664122137405	24.7636277272054	13.3305895275385	0.0887417276312889	0.00669085746301734	0	0.377939	0.533922	0.501647	0.578546	0.541944	0.575363	0.496714	0.603990	0.578447
VNG2669G	0.1494	0.719043824701195	25.1260374404928	2.6685595494571	0.29063403071512	0.448369757575259	0	1.680883	1.237511	1.281507	1.454535	1.151511	1.067019	1.131544	1.107087	1.549173
VNG2673H	0.4707	0.896571428571429	24.2633722908698	13.1617887117766	0.135328335198603	0.0563031304485053	0	0.634107	0.976206	0.790124	0.867251	0.938262	0.901044	0.867196	0.839551	0.742184
VNG2674H	0.9764	0.992413209144792	23.774473111326	6.10876123993449	0.0832387710288659	0.00145485068581683	0	0.745652	0.613862	0.774079	0.671412	0.685399	0.688436	0.621053	0.682254	0.599415
VNG2675C	0.2436	0.776264900662252	24.0000937758701	20.1632273554879	0.196947907103045	0.229536643539633	0	1.052841	1.076357	1.004781	0.970325	1.409373	1.037969	0.911842	1.012901	1.148008
VNG2677H	0.8013	0.975511022044088	24.3401788429334	2.17545922659139	0.105454296700411	0.00933253657067086	0	1.004458	0.831495	0.832927	0.858238	0.737842	0.838065	0.871560	0.763084	0.757761
VNG2678H	0.9801	0.993127902068383	23.6898076402067	8.57850737240971	1.103601642753	0.00132802399373751	0	3.147386	1.880734	3.868988	3.525584	3.367705	4.055914	2.451510	4.370821	2.650622
VNG2679G	0.8197	0.97844323252355	23.5024749032672	6.58410544329235	0.10801083399138	0.00820000054392958	0	0.291016	0.208198	0.363397	0.280643	0.307942	0.282652	0.238664	0.470259	0.285471
VNG5001H	0.2983	0.804927211646137	23.6610020959944	6.23879143803855	0.192006034668753	0.164440906564031	0	0.819215	1.195091	1.106819	0.928186	1.029545	1.034394	0.782387	0.896707	1.040924
VNG5003H	0.8358	0.978664122137405	23.4555100984339	6.34568041486534	0.127090578906934	0.00732858340530237	0	0.858675	0.688747	0.870363	0.777153	0.650745	0.790321	0.608706	0.738364	0.709874
VNG5007H	0.1323	0.7056	25.6090066296028	15.2408525803615	0.0735275405447994	0.503555565125571	0	0.338649	0.427100	0.401476	0.436355	0.463828	0.540716	0.448137	0.478066	0.431207
VNG5008H	0.7919	0.975511022044088	23.9599544976528	14.5567560981944	0.17108353404725	0.00995784014629881	0	0.574157	0.424131	0.632348	0.507722	0.641921	0.690816	0.576003	0.437394	0.835714
VNG5009H	0.856	0.978751786565031	22.9547811369655	11.2770888076755	0.230075887172872	0.0063481315202146	0	0.678694	1.099120	0.584236	0.648999	0.964236	0.815248	0.564551	0.668906	0.806481
VNG5010G	0.9627	0.991684526360909	24.91068518558	20.4129550019649	0.0481807443061445	0.00200184546389755	0	0.221175	0.131377	0.180899	0.217269	0.160337	0.154531	0.205811	0.146574	0.222492
VNG5011H	0.6756	0.959013505578391	24.0527346037755	8.80445577329728	0.280875041615851	0.0187063358147743	0	0.904753	1.345565	1.308070	1.227435	1.651236	1.191582	1.180875	1.484113	1.240081
VNG5012H	0.3875	0.837731773177318	24.9343931006733	24.7866941157659	0.27162938968178	0.0940904015418598	0	1.311316	0.976206	1.097130	1.108570	1.206226	0.730026	0.902733	1.182456	1.417229
VNG5013G	0.735	0.974685777287762	24.5072513461506	19.9357249779885	0.494659300429874	0.0138853447802663	0	1.875900	2.286427	2.024373	2.042561	2.279017	2.164528	1.813916	3.042595	2.172738
VNG5017H	0.6651	0.959013505578391	25.4274135988646	21.6310891103053	1.08060355729384	0.0199643677632383	0	2.662605	3.320802	2.753868	3.285538	2.866585	3.263501	2.636621	4.078772	5.121898
VNG5019G	0.2956	0.804353741496599	24.6195406895054	24.1409405559238	0.0853327297701883	0.166812277913431	0	0.526713	0.492762	0.344722	0.443247	0.488528	0.432083	0.398267	0.471810	0.563204
VNG5020G	0.2094	0.7404329004329	26.2084506669959	22.8954196837613	0.133123587183125	0.286303209000006	0	0.419589	0.314214	0.353937	0.316467	0.352992	0.371222	0.274685	0.449071	0.611996
VNG5021G	0.343	0.82704	25.3527051154102	22.2870314624045	0.0875482784196	0.123917159691152	0	0.458581	0.388713	0.311113	0.384943	0.433221	0.357396	0.433750	0.393648	0.543503
VNG5022G	0.5487	0.921539538138558	26.0805512808575	21.7593730409128	0.146116757830027	0.0356455437026587	0	0.350353	0.274250	0.316633	0.340477	0.340681	0.418872	0.257330	0.444656	0.617468
VNG5023G	0.1504	0.719043824701195	26.2558536897886	23.084840712305	0.117364523989488	0.445896372067783	0	0.494689	0.347660	0.306587	0.401369	0.405739	0.376381	0.322554	0.489214	0.571622
VNG5025G	0.2471	0.77640146878825	27.2085563483708	23.3416508999091	0.174317475244291	0.224909076937097	0	0.418494	0.370187	0.399129	0.349486	0.416971	0.433577	0.351291	0.622159	0.724773
VNG5026G	0.6936	0.959311926605505	24.1234916519183	18.2175465251547	0.177245425336466	0.017174433671309	0	0.303443	0.450041	0.350838	0.432949	0.481903	0.433577	0.390349	0.536468	0.737792
VNG5027G	0.4634	0.889728	26.7968334097936	22.9064859526354	0.145811876969461	0.0585893005560376	0	0.371088	0.329938	0.428216	0.364399	0.355896	0.439602	0.365687	0.548978	0.663044
VNG5028G	0.4115	0.847191780821918	27.3103930172506	22.6924984251266	0.143085247206054	0.0798880457424056	0	0.488267	0.552874	0.492903	0.525256	0.549394	0.567477	0.509340	0.775752	0.746601
VNG5029G	0.1868	0.736551724137931	25.8926882619039	18.9893303278601	0.298496455515853	0.340781485615827	0	0.620987	0.464392	0.608708	0.603234	0.617844	0.674331	1.220044	0.775752	0.850726
VNG5030G	0.9448	0.989477351916376	22.6136534682345	17.5150818037318	0.122751729245842	0.00263391666231052	0	0.452627	0.279075	0.426963	0.400323	0.489864	0.366134	0.586213	0.380896	0.416123
VNG5032G	0.7428	0.975511022044088	26.2691952485803	22.8533083934403	0.192912640300215	0.0132986358474648	0	0.617749	0.530210	0.776351	0.645618	0.550897	0.766156	0.523600	0.879163	0.892090
VNG5033G	0.9676	0.992413209144792	26.3602424417872	17.6502102355668	0.141130433133647	0.00180022175849657	0	0.393050	0.496211	0.584236	0.544817	0.628050	0.629366	0.531545	0.716802	0.716222
VNG5034G	0.5031	0.906646706586826	26.296382007909	20.8771313391643	0.141672589077859	0.0469329715547901	0	0.246192	0.238536	0.306587	0.277726	0.273826	0.364873	0.338311	0.404156	0.576733
VNG5035G	0.608	0.944759461193073	25.4077960665557	17.0709459198813	0.111321810210362	0.0262828327098726	0	0.269070	0.431592	0.331835	0.339589	0.470204	0.448798	0.471209	0.426022	0.521387
VNG5037G	0.699	0.960137299771167	22.9694338555633	22.7290807886729	0.102560223898254	0.0166282660013122	0	0.620987	0.582570	0.623149	0.539155	0.487196	0.700416	0.506790	0.721538	0.606572
VNG5038H	0.7344	0.974685777287762	24.4209993444308	20.1284498599658	0.103612059390938	0.0139156915284153	0	0.388963	0.564566	0.474475	0.402419	0.510346	0.540716	0.599607	0.489214	0.587093
VNG5039G	0.9912	0.996065299288405	24.3998102170782	22.2120635005996	0.17280672890468	0.000765177528021232	0	0.881413	0.576506	0.740784	0.615970	0.762420	0.593511	0.833057	0.517383	0.828308
VNG5041H	0.3609	0.832846153846154	24.3017581147596	2.48817879556731	0.903727668302861	0.111129855672568	0	1.950902	2.192701	1.784664	1.528532	1.758269	1.496320	3.536663	1.226075	1.508349
VNG5042H	0.4108	0.847191780821918	26.6475145891394	26.4633193025644	0.282809575197473	0.0802850878339999	0	1.436925	0.939460	1.019615	0.988227	1.075524	0.885633	0.966035	0.738364	1.308115
VNG5044H	0.3573	0.83082284607938	21.9841309868265	8.5054533130806	0.171224041838043	0.114017139221409	0	0.586288	0.858012	0.745140	0.849319	0.972167	0.707704	0.644883	0.743243	0.881564
VNG5047H	0.3197	0.820620320855615	24.8125611896173	7.13477757349831	0.410141792723925	0.144306799072274	0	2.044873	1.687983	2.463619	1.908468	1.977333	1.711850	1.636521	1.450293	1.703480
VNG5048H	0.6962	0.959311926605505	22.9823837350884	13.5155250909173	0.319274971577254	0.0168882034234593	0	1.471125	2.066463	1.582590	1.263209	1.966564	1.778071	1.669717	1.649044	1.549173
