ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1	TP_27_REP_1	TP_30_REP_1	TP_33_REP_1	TP_36_REP_1	TP_39_REP_1	TP_42_REP_1	TP_45_REP_1	TP_48_REP_1	TP_51_REP_1	TP_54_REP_1
VNG0546C	0.2205	0.632649164677804	24.5280017068756	21.0017027353939	0.679317378223987	0.0334524887189594	0	2.629256	1.215703	1.101758	0.759823	1.512990	1.135935	1.204245	1.327263	0.778013	1.130040	1.379984	1.029938	0.985188	0.680964	1.013258	2.184568	1.511230	1.501716	1.595656
VNG0548C	0.0819	0.499039665970772	24.7064081766018	20.805624238037	0.813830515541358	0.213481648944462	0	2.274592	1.507848	1.167542	0.442834	1.742206	1.576081	1.705052	2.108533	1.182180	1.685820	1.646033	1.286533	1.407167	0.862168	1.548260	3.107421	2.082933	1.549612	2.051274
VNG0549G	0.438	0.813689839572192	24.6980025570482	17.529929154333	0.867297889945155	0.00716579553378143	0	2.332640	1.761599	1.451181	0.609406	1.896084	2.414361	1.885239	1.871926	0.821455	1.573475	2.062723	2.401883	1.752361	0.941927	2.008855	3.310902	2.194620	1.624335	2.279128
VNG0550G	0.0293	0.489931034482759	25.8546870395758	21.4033765205295	1.15962569245982	0.625487002252451	0	2.944978	1.892708	1.493877	0.605879	2.049049	2.121161	2.358806	2.915391	1.835774	2.603182	2.341894	1.653852	1.636248	0.999159	1.371630	4.148475	2.765777	1.945705	2.882806
VNG0551G	0.4139	0.810244698205546	25.8065773998506	18.4931843637091	0.952866118825115	0.00817349595547322	0	2.437812	2.095321	1.665480	0.795943	2.567875	2.585653	2.648703	3.219388	1.296577	2.657602	2.495344	2.172309	1.825947	1.021506	1.812311	3.381648	2.454528	2.039528	2.532292
VNG0553C	0.068	0.499039665970772	22.7772482203026	16.9915354122528	1.05072025193465	0.275378167901951	0	0.417737	0.854166	0.761242	0.461200	0.742089	1.427514	1.640428	1.344933	1.163066	1.333450	1.600252	2.454150	2.590223	2.511305	3.241497	1.535787	1.545441	1.345443	1.507674
VNG0555C	0.194	0.603108808290155	21.0261257459662	7.05354655715459	0.582334685422936	0.0432601766907408	0	1.028394	1.003899	1.101758	1.349930	1.512990	0.844031	0.857132	0.880861	1.786572	1.489014	1.351097	1.138784	0.901182	0.812784	0.908602	2.215578	1.616203	1.273515	1.938170
VNG0556G	0.1262	0.519317406143345	23.3501448292975	14.012345531839	0.875381464530374	0.0979880867692779	0	0.779422	0.928785	0.755744	1.980206	0.970189	2.057517	1.271180	0.620446	0.308914	1.130040	0.459317	1.776892	0.901182	2.624897	0.495838	0.556662	1.025229	1.586534	0.628451
VNG0557H	0.3252	0.746156787762906	26.2099021925597	7.96944978606663	0.181966455233225	0.0146710573599517	0	0.488995	0.849072	0.586387	0.605879	0.571635	0.631933	0.506799	0.466894	0.289416	0.377457	0.630853	0.547727	0.482910	0.467537	0.651186	0.438054	0.339794	0.590127	0.469454
VNG0559G	0.1523	0.548828828828829	25.3737041501088	20.1309108807125	1.06783283074048	0.068344251619604	0	4.297796	2.095321	1.583074	1.722668	2.198792	1.835396	1.990027	2.108533	1.228009	1.975601	1.379984	0.993640	1.114584	1.116005	1.007139	2.327618	1.741412	1.663037	2.354204
VNG0560C	0.5983	0.907239418825016	26.0955511179702	9.04169294339813	0.411204795823227	0.00319197440171029	0	0.862084	1.145110	0.919134	0.899140	1.224450	0.850484	1.039799	0.761603	0.439763	0.822844	1.026233	1.665763	1.055100	0.999159	1.330716	1.671319	0.958640	0.975228	1.013640
VNG0562C	0.0883	0.499039665970772	24.77203888432	18.916520982123	0.319109461034121	0.187175938735331	0	0.912377	0.656490	0.630474	0.696458	0.836623	1.110275	0.877235	1.018794	0.862623	0.789490	0.774004	0.879527	0.926237	0.977300	0.824685	1.624862	1.096443	0.814151	1.182339
VNG0563G	0.5658	0.893368421052632	23.6933732638117	18.025506356629	0.409828984966247	0.00375366465413727	0	1.061304	0.672388	0.713162	0.571707	0.990937	1.005617	0.955065	1.060027	0.537684	0.857607	1.063063	1.352808	1.169378	0.928139	1.405265	1.768255	1.048437	1.159041	1.144634
VNG0564H	0.0365	0.493953488372093	23.6225675071026	18.7500265254406	0.315213309516456	0.54649530279786	0	1.074761	0.917739	0.668118	0.458531	1.026507	1.036723	1.039799	1.186143	0.795107	0.931601	1.063063	0.958621	1.185523	1.075612	1.157677	1.579697	1.025229	0.990658	1.135397
VNG0565C	0.4424	0.813689839572192	24.6571276059417	18.0025710500939	0.412937357140252	0.00693652820364401	0	1.002802	1.028211	0.880013	0.571707	1.041090	0.990415	1.242050	0.904471	0.461802	0.784064	1.085792	1.528325	1.185523	0.800886	1.371630	1.671319	0.944440	0.820566	0.965541
VNG0566C	0.0408	0.493953488372093	24.5407649404512	20.7290146422138	0.44460951686817	0.504508360518117	0	0.977847	0.864447	0.867346	0.545763	0.696446	0.982901	1.394697	1.576242	1.310744	1.468617	1.181674	0.944961	1.287179	1.192574	0.903116	1.818811	1.172603	1.014262	0.997347
VNG0568C	0.5913	0.902748091603054	23.2316325902942	15.0295099926234	0.437219709268351	0.0032988115611584	0	1.298356	1.046830	1.032171	0.500249	1.323232	1.332945	1.194975	1.005409	0.668214	1.026034	1.480812	1.517397	1.647505	1.166484	1.654922	1.683139	1.190234	1.071547	1.064135
VNG0570H	0.0531	0.493953488372093	24.9966703192651	18.838696249596	0.428016922616217	0.369529135672721	0	1.068011	1.237718	1.219446	0.548941	1.190387	1.273406	1.678903	1.763774	1.077876	1.194139	1.360658	1.402227	1.636248	1.255741	1.493007	1.924302	1.402571	1.159041	1.172798
VNG0571C	0.9838	1	24.7068381859148	2.31502004665266	0.41066581347098	0.000107599113274573	0	1.331491	1.472195	1.078056	0.653373	1.304697	1.044649	1.185776	1.209908	0.799439	1.130040	1.533956	1.584156	1.456240	1.075612	1.812311	1.780761	1.413076	0.967603	1.271779
VNG0572G	0.0156	0.445714285714286	27.1204886975184	22.685991570358	0.610670750447318	0.81702413415543	0	1.558618	1.151980	1.117848	0.755425	1.012128	1.405935	1.745042	2.487566	1.906940	1.628679	1.908766	0.979481	1.055100	1.274396	0.942228	1.568603	1.311474	1.421434	1.969833
VNG0573C	0.8958	1	22.8087775797276	6.08086193484981	0.659371667241948	0.000468017007590481	0	0.682834	1.639571	1.024715	1.934754	0.731694	0.870139	0.962474	0.819065	1.493312	1.253201	0.485974	1.098650	0.489577	2.350068	0.914122	1.296804	1.032907	1.030309	1.064135
VNG0574C	0.7795	0.986188719030047	25.0806026928336	19.1292251142358	0.926725596759499	0.0011556394528868	0	0.794293	1.085087	0.772359	0.638376	1.157273	1.612506	1.578254	2.622700	1.886330	2.146055	2.640165	1.751573	2.137810	1.724215	1.695505	2.855432	2.418170	2.104576	2.034721
VNG0575G	0.2042	0.614436090225564	24.6338200796114	19.2055630664743	1.05669133117499	0.0391877019571633	0	0.845944	1.104736	0.966978	0.676532	0.830743	1.302835	3.188444	1.683994	3.355410	1.202402	1.669413	2.525614	1.704958	1.361832	1.960772	1.897369	1.477777	1.186657	1.135397
VNG0576C	0.5842	0.898618925831202	21.8331275346193	5.26983000482707	0.560057419564208	0.0034284719189342	0	1.088389	0.912265	1.537829	0.828954	0.891453	0.917787	1.064186	1.309825	0.825931	2.363593	1.341603	1.015262	1.304950	1.237360	1.913841	1.034981	1.568677	1.132068	1.211431
VNG0578H	0.2409	0.663788748564868	21.5250302521413	15.5052937762835	0.533318002917751	0.0280519556839313	0	1.400318	1.298393	0.919134	1.003992	1.304697	1.700804	1.242050	0.875056	0.528991	0.828539	1.669413	1.802578	1.876713	1.067711	1.779679	1.362383	1.138122	1.525476	1.413047
VNG0579H	0.962	1	24.8306315363357	14.4364719241936	0.36419439047496	0.000188858560595375	0	0.953513	1.378436	0.739486	1.051719	1.055880	1.171072	1.031795	1.147567	0.626036	0.805995	1.268012	1.155246	1.486501	1.036681	1.845541	1.251904	1.064201	1.123217	1.038581
VNG0581H	0.3204	0.7421113243762	26.299734974768	9.86137248792194	0.637723943832139	0.0151928104746772	0	1.109155	1.516895	0.974014	1.088998	1.141062	1.416683	1.261395	0.616357	0.340653	0.624471	1.181674	2.036449	1.658838	0.970121	2.147249	1.324514	0.930451	0.840117	0.934750
VNG0582C	0.0977	0.499039665970772	25.3179653249067	20.1856102170593	0.535213869613589	0.154785394269611	0	1.418073	1.230336	0.886415	0.405904	1.323232	1.322832	1.251685	1.629227	1.026435	1.253201	1.093476	1.171945	1.161388	0.830962	1.083063	2.247027	1.592263	1.177379	1.532305
VNG0583G	0.5509	0.878511627906977	23.3869241137755	13.89892573587	0.563315898525174	0.0040119704397443	0	1.356895	1.600804	1.184593	0.545763	1.534484	1.821471	1.352246	1.267228	0.586520	1.084234	1.753888	1.739049	1.838508	1.466036	1.996725	2.050309	1.381796	1.537497	1.436132
VNG0584H	0.3371	0.758949343339587	22.8337255720406	18.8540611403982	0.447378629040169	0.0135525839405077	0	1.418073	1.428812	0.966978	0.333198	1.286421	1.312796	1.290979	1.318515	0.757161	0.938048	1.351097	1.000796	1.456240	1.059867	1.605558	1.743506	1.311474	1.356045	1.379114
VNG0585H	0.9728	1	25.1927662646641	3.23222597276559	0.601353711799812	0.000145346791900943	0	1.391523	1.689354	1.047245	0.369900	0.943200	1.576081	1.055994	0.966301	0.490244	0.857607	1.533956	1.474462	1.538340	0.991819	2.008855	1.965419	1.413076	1.177379	1.557338
VNG0586C	0.0597	0.499039665970772	25.7522984836094	23.4688412255148	0.486570079696507	0.326816694444732	0	1.588356	1.009922	0.658502	0.623723	0.790723	1.135935	0.955065	1.178325	0.946098	1.342678	1.341603	0.751082	1.210158	0.948898	1.136832	1.780761	1.499996	1.314132	1.816523
VNG0587H	0.5688	0.895160655737705	24.1948285082629	21.8069697678962	0.397369172624897	0.00369925701614588	0	1.847623	2.058052	1.320668	1.342116	1.481312	1.906636	1.615270	1.475384	0.972153	1.418839	1.766299	1.343135	1.341231	1.083572	1.222533	1.401335	1.361328	1.637134	1.716363
VNG0590H	0.1854	0.596461126005362	24.3892404214154	8.0569343161054	0.847044226895269	0.0479131081501292	0	0.687150	1.003899	1.330277	3.397676	1.149139	1.110275	1.072442	1.336069	1.339543	1.169686	0.741938	1.362550	1.005661	1.341897	0.743999	1.006212	0.944440	0.643342	0.654434
VNG0591C	0.5538	0.880688741721854	25.4087059181422	11.5207530321277	0.314910572517769	0.00395216171110889	0	0.722670	1.111365	0.824431	1.414103	0.872788	0.953410	1.140834	0.857868	0.812577	0.957658	1.259101	1.130642	0.926237	1.361832	1.439726	0.831861	0.813510	1.079991	0.721260
VNG0592G	0.5212	0.862675862068966	23.8036448676433	21.4757609563381	0.173477558173574	0.00459421027981499	0	0.755253	0.672388	0.355592	0.565108	0.492938	0.585592	0.619574	0.588478	0.555502	0.633144	0.544019	0.435349	0.618093	0.755012	0.598246	0.780737	0.700731	0.623458	0.876082
VNG0593G	0.7575	0.98252427184466	24.2748858848474	20.5746023626466	0.347750140803756	0.00132829300283882	0	1.801645	1.208452	1.176037	1.021630	1.481312	1.180025	1.232489	1.234149	0.786514	0.998117	1.304288	1.008003	0.901182	1.059867	1.001058	1.535787	1.235478	0.901610	1.261516
VNG0594H	0.4386	0.813689839572192	25.9948559321698	19.591608122471	0.398148461303024	0.00715346809673276	0	0.789305	0.974315	1.002671	1.127598	1.041090	1.273406	1.362736	1.629227	1.534437	1.541255	0.686561	1.392201	1.304950	1.543688	1.007139	1.200071	1.056290	1.399294	1.608638
VNG0595H	0.8377	1	24.9183791541297	16.3212296161699	0.679119504975906	0.000782142812206142	0	0.878533	1.730266	1.451181	1.498625	1.351529	2.546567	1.899864	2.571185	1.991657	2.160907	2.325438	3.043649	1.764416	2.384980	2.108586	1.780761	1.715617	1.885567	1.787324
VNG0596H	0.6518	0.945533453887884	24.7859107366413	19.2800414008588	0.36674656316457	0.00242176577168185	0	0.900953	0.387792	0.708011	1.318944	0.757959	0.730323	0.870483	0.992200	1.214737	0.673688	0.353832	0.694075	0.328950	0.874976	0.870886	0.533614	0.670051	0.674364	0.827775
VNG0597H	0.348	0.761579892280072	25.6993223766391	8.63319848469451	0.81557913351591	0.0125004505631646	0	1.348374	2.305788	1.967661	0.708693	1.646623	2.706547	1.530216	1.186143	0.583342	1.040284	1.991261	2.187953	2.094290	1.265034	2.045689	1.431278	1.282443	0.975228	1.292556
VNG0598C	0.0078	0.414545454545455	26.1621200624684	21.4185497527765	1.09991935296721	0.91951013819925	0	2.232006	0.558574	0.848687	1.397779	1.250635	1.780326	1.627801	1.717733	1.917329	2.363593	0.854317	1.259133	0.743780	0.970121	0.598246	3.405564	2.644684	2.404991	1.557338
VNG0599C	0.6673	0.951586452762923	22.6030038902766	9.45653641385814	0.331699609687452	0.00223884212924633	0	1.290202	1.386707	1.560287	1.147408	1.390203	1.312796	1.449640	1.318515	1.026435	1.409087	1.816831	1.751573	1.201890	0.991819	1.595863	1.636354	1.834787	1.443923	1.544771
VNG0600C	0.023	0.467272727272727	26.9142707393881	21.8012084453261	1.70622104805964	0.702649834608191	0	2.332640	0.912265	1.255323	0.668723	1.950339	1.395268	2.710825	4.850904	2.102866	4.132171	2.658849	0.789774	0.813113	0.696194	1.007139	3.129398	3.259191	1.455301	2.412130
VNG0601H	0.2889	0.711868583162218	24.6091705509965	19.8499243280447	0.382845104210655	0.0191862164659963	0	2.043574	1.362042	1.228318	1.057842	1.400043	1.273406	1.542087	1.250579	0.896064	1.219102	1.544811	1.067563	1.161388	0.894546	0.971197	1.251904	1.025229	1.149980	1.241238
VNG0602C	0.5631	0.890276679841897	24.5182804549288	9.37247237572319	1.83530029524641	0.00380515887737009	0	0.830106	5.489559	6.008809	1.223069	2.183338	4.440247	3.314050	3.723507	1.980865	2.446518	4.448992	3.065568	3.908258	2.931866	3.221924	3.241636	3.812079	3.043521	3.389943
VNG0604H	0.7056	0.970142775556825	26.5952473670448	8.40616488429572	0.513169159212483	0.00180783283091187	0	0.727237	1.337816	1.085899	1.160807	0.910517	0.975444	1.394697	0.922593	0.910790	0.906253	1.470406	1.689842	1.825947	1.487815	2.083198	1.183274	1.112928	1.088501	0.861999
