"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG2307C","0.120138298399782","0.32474534265442","21.0845070422535","11.609913200939","0.173644173313101","1","1","24","9","0.211826369241797","0.95614625113007","1","25.7985257985258","6.45660482987567e-05","1.40103505180363","0.632393668360152","0.999999999409966","23.6276776135931","9.78098329396493","1.03726682620299","0.167195366042651","0.16118838645856","1.400247556","1.387983226","1.044443716","1.499385058","1.889791008","0.860021419","0.931039039","0.886815729","0.695594892","0.796278648","0.808255786","0.892158821","1.230497546","0.825605683","0.729840472","0.766922967","0.9445748","1.0433377","1.020162655"
"VNG2308G","0.117261803694982","0.320898892665857","20.2297297297297","3.86103147212659","0.084513077580241","1","1","21","1.5","0.0835901678114531","0.83794289893419","1","20.4678362573099","0.885681646781897","0.883729442027914","0.590702103517482","0.999999999409966","20.5658553290132","2.07185415995518","0.853604428395985","0.0808725673551278","0.0808725673551278","0.843096924","0.910699702","0.933601501","0.762699092","0.832030507","0.764313449","0.937932872","0.800679229","0.977107759","0.997646819","0.815387152","0.609269352","0.933617317","0.891995276","0.839658284","0.827637206","1.168444878","0.650570991","0.750441452"
"VNG2310H","0.450884100596567","0.591000459547657","24","14.8031341262202","0.102404737658453","0.686451287935708","1","27","12","0.0978609134307599","0.943658842003021","1","28","12.4925363186768","1.00734657312373","0.872750074907543","0.999999999409966","26.3333333333333","13.1600591550072","0.813795145285863","0.127622784449451","0.127622784449451","0.738111208","0.703409734","1.262816345","0.599115272","0.609378157","0.836922354","0.762892806","0.69870223","0.566275756","0.586010082","0.787233736","0.673004394","1.315680058","0.885122878","1.249052541","0.704671987","1.09708123","0.562571475","0.646312529"
"VNG2311H","0.950767761019627","0.967292338468463","24","8.15252647505882","0.0170321431840045","1","1","21","7.5","0.0556265008999016","0.993027766690091","1","20","7.04718755383025","0.795016655881127","0.999969678506161","0.999999999409966","21.6666666666667","7.57751730632701","0.655405106550782","0.0336336096723899","0.0336336096723899","0.636720444","0.684543956","1.25196513","0.692494126","0.81328495","0.603664964","0.713885777","0.594335936","0.767500505","0.68928932","0.494204261","0.538020252","0.630064992","0.610621568","0.696524501","0.477385497","0.728345427","0.388355439","0.499706174"
"VNG2312C","0.247482358996078","0.43641268302027","21.8540145985401","7.70422359137569","0.156773565225636","1","1","27","4.5","0.103422201491668","0.967673930028375","1","28","13.4913306379421","0.928101996864093","0.826379194290172","0.999999999409966","25.61800486618","8.65206332708064","1.02736554571695","0.121513492513771","0.118276783779986","1.300523849","0.90453096","1.752922568","1.955421119","0.946715527","1.00348873","0.987640331","0.828419229","0.760667438","0.911616383","0.955068706","0.848863559","0.998247977","0.75826988","0.929110976","0.893157951","1.215385727","0.715024191","0.808637608"
"VNG2313H","0.288775879041762","0.47179176970744","20.2297297297297","11.7713006284139","0.170888339505007","1","1","21","9","0.189093318799223","0.999334140270094","1","22.3880597014925","12.7728331262502","1.41567991958328","0.870082340259601","0.999999999409966","21.2059298104074","11.2106742851415","1.24093760009535","0.173993230956626","0.140211104042022","0.790804629","1.323493792","1.400605195","1.554674962","1.352897507","1.149828313","1.975887369","1.174530112","1.03096881","1.053114622","1.243042183","2.044153798","1.040894949","1.017338197","0.675163105","1.410775287","1.168444878","1.113852142","1.045879847"
"VNG2314H","0.339650087343104","0.512351620162319","26.972972972973","0.334995430994482","0.106393229185617","1","1","27","3","0.134707609988074","0.997500965967411","1","26.8542199488491","7.5987093451611e-05","1.49095183861772","0.903946601219167","0.999999999409966","26.9423976406074","1.09419468244874","1.17741520160684","0.105918696203394","0.0899586620410921","1.680163438","1.228153261","1.009004714","1.554674962","1.02142829","1.429637055","1.095097872","0.894398968","1.221908162","1.319433159","1.061243677","1.044373248","1.023621776","1.107679758","1.012205647","1.031402833","0.873020717","1.436422736","1.433634768"
"VNG2315H","0.0867202969112872","0.291089108513412","20.9370629370629","7.65889184401649","0.146988286007579","0.198324012220582","1","21","9","0.0667641822367778","0.479884921715817","1","20","10.7904698050412","0.936312380331498","0.142811596243059","0.866789021296967","20.6456876456876","9.16210095559773","0.825291474080928","0.14534377517468","0.14534377517468","0.565731539","1.001612677","0.79927869","1.228620723","1.110440013","0.908149748","0.629742514","0.686904443","0.781351334","0.754338459","0.643217331","0.781323255","0.702462836","0.707282501","0.747091362","1.022708455","1.141155132","1.050946842","0.56594807"
"VNG2316C","0.816976099505452","0.872993160646966","24","10.3227107047593","0.0874781886855322","1","1","27","16.5","0.2433855587005","0.999999989978313","1","21.2121212121212","18.5610310717556","1.45982447138664","0.998816047855515","0.999999999409966","24.0707070707071","14.9644674988445","1.41473285474423","0.0298728257955616","0.0211155241750304","0.727284781","1.262000711","0.991738726","1.64145599","1.623442884","1.203205563","1.32664108","1.693846084","1.078114154","1.809105303","1.243042183","1.554855406","0.744833498","1.963266854","1.173614089","1.849715769","1.434032264","1.089833106","2.398248838"
"VNG2317G","0.0475046856628794","0.234109333862239","21.0845070422535","12.7572366395442","0.249433948960433","0.37965399806912","1","21","13.5","0.253722935875322","0.550476779490927","1","21.0420841683367","13.7852700366544","1.20130483114281","0.161325397720762","0.917490413577794","21.0421970701967","13.348758089897","1.0433575070275","0.255676653510662","0.245051817606677","0.370380211","1.116677968","0.606405966","1.545320384","1.052939056","1.41672132","1.205322291","1.060447886","0.977107759","0.871424511","0.666220365","1.647763982","1.0584596","1.041219553","0.534504022","0.916131233","1.006018111","1.155065975","1.297744004"
"VNG2320G","0.0560378581285399","0.247225844684735","24","0.0565896702479747","0.194180442074161","0.307776451856377","1","24","0","0.118490865848302","0.673771958633997","1","24.1379310344828","5.724061943941","0.878006841209857","0.178706358397523","0.9638095733799","24.0459770114943","1.73185509559841","0.742497169356809","0.173374561517807","0.173374561517807","1.599412655","0.88627431","0.532775251","0.462172753","0.595648933","0.649122859","0.475790888","0.620185346","0.636089084","0.833004641","0.829839202","0.65105105","0.656982516","0.691060307","0.826682471","0.931774105","1.030076171","0.752335718","0.842897097"
