"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24"
"VNG5008H","0","default","1","24","0.0287973586770695","7.72639966716574","0.591133990888889","0.0312223750733959","-0.291703499902139","0.205672049573449","0.909226948178238","0.964718992776575","0.574156971","0.42413067","0.632348126","0.507721787","0.641920802","0.690815797","0.576002903","0.437394416","0.835714446"
"VNG5009H","0","default","1","24","0.0257655094393588","6.70749706776178","0.758941409666667","0.0106531699610209","-0.319129106718639","0.223194134023768","0.968379751179012","0.989830964966764","0.678694024","1.099120442","0.58423614","0.648999331","0.96423592","0.81524827","0.564551514","0.668906391","0.806480655"
"VNG5010G","1","burg","1","24.7438016528926","0.00846980959143407","1.20466854922387","0.182273989333333","0.0338419850294644","-0.288210686627381","0.183123129685187","0.901871126216863","0.962423611792117","0.221175159","0.131377342","0.180898747","0.217269209","0.160337405","0.154531366","0.205810956","0.146573794","0.222491926"
"VNG5011H","1","burg","1","22.6818181818182","0.127177312585288","9.47452155011763","1.28152334477778","0.232668446472707","-0.0231087380363908","0.1532988718018","0.451803063859233","0.797886205490919","0.904752601","1.345565338","1.308070072","1.227435053","1.651236389","1.191582258","1.180874824","1.484112507","1.240081061"
"VNG5012H","0","burg","1","25.1596638655462","0.160092003683541","1.46685198008888","1.10354343844444","0.336482145461817","0.115309527282422","0.179834556671442","0.292117678940098","0.755167863430565","1.311315958","0.976205919","1.097129974","1.10857022","1.206225827","0.730025676","0.902732756","1.182456024","1.417228592"
"VNG5013G","0","default","1","24","0.0802651558796151","1.18006641679145","2.18911724966667","0.0356663696369974","-0.285778173817337","0.154861449251683","0.896771790028848","0.961113715066968","1.875899589","2.286426737","2.024372595","2.042561265","2.279017362","2.164527858","1.81391652","3.042595307","2.172738014"
"VNG5017H","1","mle","1","23.952","0.585167243394559","2.70064506556078","3.33224327955556","0.531774125126907","0.375698833502543","0.229222733615066","0.102651719697456","0.669878350320764","2.662604561","3.320801608","2.753867719","3.285538473","2.866584761","3.263501014","2.636621042","4.078772157","5.121898181"
"VNG5019G","1","burg","1","24.7438016528926","0.0432274888117671","24.3368987257348","0.462370676444444","0.259989270319493","0.0133190270926569","0.135329269836369","0.405241626974719","0.793196988481702","0.526712831","0.492761648","0.3447225","0.443246568","0.488528157","0.43208314","0.398267189","0.471810038","0.563204017"
"VNG5020G","1","mle","1","26.972972972973","0.0831147394209916","26.5922676861125","0.384907981555556","0.503595181143205","0.33812690819094","0.246294485040362","0.122322955664881","0.676440307824227","0.419589198","0.314213788","0.353936678","0.316467105","0.352992354","0.371221963","0.27468456","0.449070581","0.611995607"
"VNG5021G","1","burg","1","24.95","0.0403455438506393","24.1593085824599","0.411652002777778","0.263223859737681","0.0176318129835749","0.151826445269573","0.399950882779458","0.793196988481702","0.458581042","0.388713122","0.311113428","0.384943052","0.433220686","0.357396462","0.433749701","0.393647728","0.543502804"
