"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG0017H","0","default","1","24","0.120927009835828","8.65338322428137","1.242997068","0.0341798972138763","-0.0865476156343892","0.412810409415557","0.757129076964738","0.830024329915381","0.437902255","0.670727426","0.871320334","1.258641711","0.975921426","1.225243943","1.376489077","1.135200431","0.977107759","1.367896614","1.781978983","1.977473682","0.837396026","1.656081087","0.707457323","1.285335888","2.630206356","0.820884155","1.623679816"
"VNG0018H","0","burg","1","24.5409836065574","0.248795309248966","12.2939348857704","1.44935945273684","0.408390069280746","0.334438827940839","0.195872177883327","0.0150066461904699","0.182764551140576","1.016630914","1.03623583","1.462364179","1.701984768","1.244450642","1.565450942","1.91843338","1.246664148","0.985885107","1.594532097","1.298856211","1.881509557","1.823325897","1.668939469","1.425848613","1.642987913","1.114502754","1.522401016","1.386826165"
"VNG0019H","0","default","1","24","0.238799398430477","3.74990455529387","0.632815051368421","0.431888824285541","0.360874927321234","0.43695041291986","0.0108509224933797","0.166252628534181","1.094585812","0.90453096","1.230541628","0.584825238","0.463584287","0.576884855","0.57639025","0.574434324","0.444799384","0.879318562","0.530184247","0.34959201","0.425208366","0.344514119","0.253096571","0.528429318","0.403412043","0.741480923","1.117673079"
"VNG0020H","1","mle","1","23.5748031496063","0.262790360185452","11.8389032811131","1.35772060221053","0.22747603784208","0.13091054257234","0.296641252916268","0.126851519571073","0.327535142492053","0.779205308","0.794950389","0.991738726","1.722653024","1.322416873","1.247685987","1.64310586","1.125575536","1.255134011","1.380288103","1.750944958","2.373156718","1.049640535","1.761787409","1.182788895","1.803331538","1.079932034","0.922094564","1.610260974"
"VNG0021H","0","default","1","24","0.217660054710911","3.45536837096921","1.21425370005263","0.0590945314936157","-0.0585186520696823","0.533195298172869","0.614282214358476","0.722181045983678","1.021650641","1.701911491","0.596029208","1.043876017","1.562941859","1.329519966","1.742996317","1.225613867","0.602857791","1.284215727","1.006757481","1.115992948","0.368832369","0.819244786","0.664729348","1.329604659","0.552835699","3.337035235","1.764174892"
"VNG0022H","0","burg","1","24.7438016528926","0.331449876087454","8.06666070902533","1.46278419621053","0.244584387631044","0.150157436084924","0.316397321248161","0.106044378238025","0.315624172203489","0.855647342","1.203364763","2.433241809","1.651392524","1.153424823","1.565450942","1.024750514","1.194703015","0.89351947","1.367896614","2.258960849","1.580852811","1.304717836","1.605630633","1.21074591","2.064900626","1.357096277","0.895678325","2.170924645"
"VNG0023H","0","default","1","24","0.171560862607815","10.8523214026429","1.40151050878947","0.0837902226720996","-0.0307359994938881","0.310668718526444","0.496545872599686","0.628539079240109","0.682175625","1.228153261","1.664466134","0.919615811","1.093698021","1.35387197","1.460170918","1.908290874","0.885564455","0.988690479","1.720451406","2.599766076","1.50414385","1.253597242","1.382119903","1.881299526","1.046433662","1.511378416","1.544812038"
"VNG0024H","0","burg","1","27.981308411215","0.341016588490284","9.26052672090401","1.47208201415789","0.267195690587573","0.17559515191102","0.317581186337372","0.083158015565242","0.285930139479342","0.775376799","1.406979386","1.449798276","2.246595754","1.263500309","1.088891979","1.730185244","1.440833526","0.951241808","1.238717017","1.632120277","2.412836239","1.430497876","2.327432375","0.966000189","2.04749421","1.234685912","1.18052269","1.145848403"
"VNG0025H","1","burg","1","21.8540145985401","0.318352697450171","12.2790646354721","1.06131348268421","0.224939726790957","0.128057192639827","0.451579298237117","0.130221836767562","0.327535142492053","0.433609692","0.942180229","0.561089074","1.446061463","2.762839709","1.149828313","0.973175317","1.069515869","0.767500505","1.081994499","0.67802856","1.253347345","0.614446779","1.273139534","0.776753709","1.122517334","0.915275069","1.197804768","1.145848403"
"VNG0026C","1","burg","1","22.0147058823529","0.193241905493766","19.6025123741959","1.74841527510526","0.0751205135110454","-0.0404894223000738","0.357407539257717","0.53540346363226","0.657945884647939","1.213866478","0.988089526","0.958088056","0.942086355","1.118906871","1.36621473","1.396948838","1.708330311","2.935318909","1.713819288","1.878420537","1.820134882","3.330352182","1.933131325","2.121053132","1.913422574","2.19433369","2.205349273","1.48202327"
