"CycID","BH.Q","ADJ.P","PER","LAG","AMP","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG0032H","1","1","27","10.5","0.200403235791647","0.867532631","0.611014135","0.861081016","1.430616757","1.063353465","0.603706332","0.701116613","0.756583785","1.568151007","0.811572649","0.437194243","1.122557369","1.084434155","1.075611987","1.548259836","0.808738591","0.813510233","0.901609705","0.687035255"
"VNG0033H","1","1","21","19.5","0.549415949381919","1.116164843","1.535153191","0.697819848","1.804559744","0.923451875","2.508071828","1.123337253","1.132490669","2.448404044","1.428657549","0.339173356","0.543810364","1.728497111","2.199182948","0.478142638","0.678095554","0.76636988","3.067503435","0.608409908"
"VNG0034H","1","0.247888882752453","21","9","0.332187057527357","0.637116323","1.689353745","1.101757995","2.72506201","1.567299352","0.72478173","0.605375781","1.02555315","2.670780831","1.106899765","0.8975468","1.964677845","1.012578854","0.450614714","1.001057938","0.74315581","0.777892485","1.114435875","1.038580966"
"VNG0035C","1","1","27","24","0.169510246810062","1.356895156","1.028210508","0.795083454","1.273794382","1.117171466","1.144619141","1.30099425","1.217934791","1.453289428","1.253200768","1.206938832","0.543810364","0.882836308","0.984532785","0.616640213","1.118407174","1.056289866","1.022253791","1.201654602"
"VNG0037H","1","0.0757011163342464","27","9","0.292507296639026","0.299151491","1.403398136","0.824430813","0.712819277","0.540273184","0.863537459","0.586949566","0.565586994","0.498300907","0.66905795","0.936337795","1.13064168","1.1613885","0.999158586","1.363347804","0.636421261","0.489783311","0.658670478","0.715440089"
"VNG0038H","1","1","21","19.5","0.0921217477092967","0.520792494","0.618368513","0.382326523","0.466586226","0.382400211","0.61297231","0.469110259","0.428435379","0.514813425","0.461027323","0.592059245","0.454502551","0.79656035","0.72233907","0.930883019","0.507928491","0.508401535","0.623457541","0.739007202"
"VNG0039H","1","0.686451287935708","27","10.5","0.2039507530362","0.799313228","0.718122842","0.60363904","1.027578404","0.872788297","0.883494539","0.643981741","0.662859904","0.418775584","0.599158384","1.173369944","2.694107866","1.341231123","1.006552763","1.654922312","0.971373224","0.795502041","1.21493051","0.827775498"
"VNG0040C","1","1","27","9","0.144719896234459","0.990246103","1.870197762","1.292256746","0.755425125","0.860562815","1.244641262","0.918866668","1.267227592","0.721026319","1.018982496","1.24146809","1.098649612","1.235305633","1.157915433","1.70580476","1.006212208","1.138122094","1.177379312","1.44781542"
"VNG0041C","0.787602458335178","0.0190337260764335","27","10.5","0.353406776244835","1.054638866","2.058052325","1.665479548","1.634974122","1.545345585","1.793937085","1.495149187","1.012079539","0.573910032","1.062031772","1.439625862","2.580573914","1.863890631","1.509917415","2.226713674","1.391494067","1.413075943","1.432634441","1.570007383"
"VNG0042G","1","1","21","3","0.779401666994627","5.290977317","3.4426204","3.974983133","2.972996331","4.090185066","2.546566933","2.56808272","3.283890252","2.114322599","2.131305646","1.829688658","1.539331573","1.185522556","1.029065238","0.795254642","1.472200244","1.677639746","1.56182274","1.483439185"
"VNG0043H","1","1","27","6","0.228654165540162","2.303432997","1.997405022","1.803726154","1.160807341","1.681836005","1.135934896","1.30099425","1.353855334","0.622643246","1.1859315","1.232744251","1.286533273","1.201889907","1.075611987","1.567128223","0.951051545","0.916668285","1.114435875","1.064135443"
